Date/Time,FIRSTFLOOR_1:Zone Mean Radiant Temperature [C](Hourly),ROOF_0:Zone Mean Radiant Temperature [C](Hourly),FIRSTFLOOR_1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),ROOF_0:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),FIRSTFLOOR_1:Zone Windows Total Heat Gain Energy [J](Hourly),FIRSTFLOOR_1:Zone Windows Total Heat Loss Energy [J](Hourly),FIRSTFLOOR_1:Zone Opaque Surface Inside Faces Total Conduction Heat Gain Energy [J](Hourly),FIRSTFLOOR_1:Zone Opaque Surface Inside Faces Total Conduction Heat Loss Energy [J](Hourly),ROOF_0:Zone Windows Total Heat Gain Energy [J](Hourly),ROOF_0:Zone Windows Total Heat Loss Energy [J](Hourly),ROOF_0:Zone Opaque Surface Inside Faces Total Conduction Heat Gain Energy [J](Hourly),ROOF_0:Zone Opaque Surface Inside Faces Total Conduction Heat Loss Energy [J](Hourly),FIRSTFLOOR_1:Zone Mean Air Temperature [C](Hourly),FIRSTFLOOR_1:Zone Operative Temperature [C](Hourly),ROOF_0:Zone Mean Air Temperature [C](Hourly),ROOF_0:Zone Operative Temperature [C](Hourly),FIRSTFLOOR_1:Zone Infiltration Total Heat Loss Energy [J](Hourly),FIRSTFLOOR_1:Zone Infiltration Total Heat Gain Energy [J](Hourly),FIRSTFLOOR_1:Zone Ventilation Total Heat Loss Energy [J](Hourly),FIRSTFLOOR_1:Zone Ventilation Total Heat Gain Energy [J](Hourly),FIRSTFLOOR_1:Zone Air Relative Humidity [%](Hourly),ROOF_0:Zone Air Relative Humidity [%](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Heating Energy [J](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Cooling Energy [J](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Heating Energy [J](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Cooling Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Heating Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Cooling Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Heating Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Cooling Energy [J](Hourly) 
 01/01  21:00:00,0.2145492756113909,0.14329031353107125,0.0,0.0,0.0,632815.0869537658,845821.8902277814,0.0,0.0,0.0,0.0,100311.11263167705,-5.057259661955562e-17,0.1072746378056954,0.21901119594688542,0.18115075473897835,927434613.1431868,0.0,0.0,0.0,62.87529274235654,60.81497994765252,925644640.2801015,0.0,925644640.2801017,5.2386894822120667e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  22:00:00,0.14062304877639983,0.02459479478514279,0.0,0.0,0.0,722121.4806858724,820452.504682546,0.0,0.0,0.0,0.0,103519.47034223631,-9.818071693164118e-17,0.07031152438819986,0.09125720396380366,0.057925999374473236,1181541705.8035905,0.0,0.0,0.0,61.241760742949914,61.41773460974674,1181172220.094376,0.0,1181172220.0943763,6.984919309616089e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  23:00:00,0.07527843526079912,-0.09572776854126724,0.0,0.0,0.0,766628.8056352953,782853.0080689479,0.0,0.0,0.0,0.0,103386.63546477284,1.2088026174174354e-18,0.03763921763039956,-0.03322737522296857,-0.0644775718821179,1255041973.3173282,0.0,0.0,0.0,62.55970529257562,61.99173993692343,1256681733.4064894,0.0,1256681733.4064894,3.4924596548080444e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  24:00:00,0.02523296546179886,-0.2151096030511317,0.0,0.0,0.0,753050.81774311,709064.2141441705,0.0,0.0,0.0,0.0,102402.11944265134,-3.0558518237454574e-18,0.012616482730899428,-0.1528344733377924,-0.18397203819446206,1258554014.5673976,0.0,0.0,0.0,62.22731453412096,62.61565985184939,1256949834.1532917,0.0,1256949834.1532917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  01:00:00,-0.005863941252468281,-0.336182262091032,0.0,0.0,0.0,652841.1986893537,582938.5862030312,0.0,0.0,0.0,0.0,105249.88925158858,1.4947177639859995e-18,-0.00293197062623414,-0.27105748430835813,-0.30361987319969513,1149141706.56779,0.0,0.0,0.0,62.76318304401394,63.2183851738286,1150935331.9390285,0.0,1150935331.9390285,1.0477378964424133e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  02:00:00,-0.04152347701923495,-0.4556106256132096,0.0,0.0,0.0,644466.0736338812,522113.6673742095,0.0,0.0,0.0,0.0,102913.54932536697,-9.863853143929997e-17,-0.020761738509617527,-0.38912858650000587,-0.4223696060566078,1181543698.693494,0.0,0.0,0.0,63.884468753807226,63.84844977244444,1181424066.3289914,0.0,1181424066.3289914,3.4924596548080444e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  03:00:00,-0.08156101718600306,-0.5581263155395184,0.0,0.0,0.0,695028.787142361,508315.56911357463,0.0,0.0,0.0,0.0,86486.58935213926,-1.9393386442275406e-16,-0.04078050859300162,-0.4953749733323845,-0.5267506444359514,1257465061.1304352,0.0,0.0,0.0,63.71256364857887,64.43848924474199,1257643388.727229,0.0,1257643388.7272294,3.4924596548080444e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  04:00:00,-0.1075090555637749,-0.6340576115988608,0.0,0.0,0.0,703563.3126753496,479123.12590325996,0.0,0.0,0.0,0.0,63241.99716480235,-1.983167643161982e-16,-0.05375452778188756,-0.5778770982556171,-0.6059673549272389,1256676762.9100242,0.0,0.0,0.0,63.711135424791905,64.84097677628957,1256937563.3615186,0.0,1256937563.3615186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  05:00:00,-0.12542367089154743,-0.686286304082471,0.0,0.0,0.0,698173.0453819764,444643.0708846066,0.0,0.0,0.0,0.0,53336.1292718716,-2.910002610078852e-16,-0.06271183544577387,-0.6360149704462973,-0.6611506372643842,1257793552.6166244,0.0,0.0,0.0,62.22678858070797,65.12595358103614,1256414506.4719713,0.0,1256414506.4719713,3.4924596548080444e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  06:00:00,-0.14329925439732116,-0.7260998978480995,0.0,0.0,0.0,704566.3262890733,421388.57441002905,0.0,0.0,0.0,0.0,42663.29200820158,-8.247771975402982e-19,-0.07164962719866058,-0.6787717039968811,-0.7024358009224904,1258510293.6242068,0.0,0.0,0.0,59.6444571168711,65.39552585878666,1257157230.5289774,0.0,1257157230.5289774,6.984919309616089e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
